,state,customer lifetime value,education,gender,income,monthly premium auto,number of open complaints,policy type,total claim amount,vehicle class,sales channel,response
142,Oregon,16794.31422,High School or Below,F,38399,106,0.0,Personal Auto,368.890904,SUV,Web,No
143,Oregon,24278.10167,Master,F,20983,97,1.0,Personal Auto,451.751555,Four-Door Car,Branch,No
144,California,7462.926263,College,F,70263,93,0.0,Personal Auto,7.345946,Two-Door Car,Call Center,Yes
145,California,3735.838129,Bachelor,M,0,110,0.0,Personal Auto,792.0,SUV,Agent,No
146,Oregon,2891.272351,Bachelor,F,80590,71,0.0,Corporate Auto,134.158389,Four-Door Car,Branch,No
147,Washington,11981.98481,Master,F,21514,62,0.0,Personal Auto,257.248789,Two-Door Car,Agent,Yes
148,California,2347.048112,College,M,31617,62,1.0,Personal Auto,244.269407,,Agent,No
149,Oregon,4282.947971,College,F,40864,109,1.0,Personal Auto,166.937747,SUV,Agent,Yes
150,Arizona,5380.898636,College,F,55350,67,0.0,Personal Auto,321.6,Four-Door Car,Agent,Yes
151,Oregon,5828.1822,College,F,31364,74,0.0,Personal Auto,461.269135,Four-Door Car,Web,No
152,California,5048.051359,High School or Below,F,34452,126,0.0,Personal Auto,604.8,SUV,Agent,No
153,Oregon,7737.265103,College,F,50296,65,1.0,Personal Auto,46.804,Two-Door Car,Call Center,No
154,California,7950.178237,High School or Below,M,26189,69,0.0,Personal Auto,331.2,Four-Door Car,Agent,No
155,,4111.888285,College,F,65085,103,0.0,Personal Auto,480.073548,Four-Door Car,Call Center,
156,Washington,8007.399376,High School or Below,F,0,112,0.0,Personal Auto,537.6,Sports Car,Web,Yes
157,Arizona,4873.436612,High School or Below,F,18866,126,0.0,Personal Auto,604.8,SUV,Call Center,No
158,Oregon,2252.416825,College,F,0,65,0.0,Personal Auto,468.0,Two-Door Car,Web,No
159,Oregon,4957.033603,College,F,62803,62,0.0,Personal Auto,400.959425,Two-Door Car,Web,No
160,Oregon,2655.864573,High School or Below,F,83460,66,0.0,Corporate Auto,443.44552,Four-Door Car,Call Center,No
161,Washington,5898.733666,Bachelor,F,53998,78,5.0,Personal Auto,414.519064,Four-Door Car,Call Center,No
162,California,17723.76398,College,F,25771,222,0.0,Personal Auto,1253.984948,Luxury SUV,Branch,No
163,California,5108.038755,College,M,26784,67,0.0,Corporate Auto,482.4,,Branch,No
164,California,4517.908834,Bachelor,F,25261,118,0.0,Personal Auto,566.4,SUV,Branch,No
165,Arizona,5310.861767,College,F,0,72,1.0,Personal Auto,345.6,Four-Door Car,Branch,No
166,Nevada,2773.455358,High School or Below,F,73478,68,0.0,Personal Auto,241.88878,Four-Door Car,Call Center,No
167,Arizona,5504.139033,Bachelor,F,0,73,0.0,Corporate Auto,350.4,Four-Door Car,Call Center,Yes
168,,6960.920371,College,M,74487,88,0.0,Personal Auto,16.711329,Four-Door Car,Call Center,
169,,5010.37931,Bachelor,F,64014,63,,Corporate Auto,295.871784,Four-Door Car,Agent,
170,Oregon,8488.561363,High School or Below,F,80213,70,0.0,Personal Auto,440.268527,Two-Door Car,Branch,No
171,Washington,2471.528431,High School or Below,M,95697,61,0.0,Personal Auto,114.273025,Two-Door Car,Agent,Yes
172,Oregon,5876.054314,College,F,32848,74,,Personal Auto,250.454012,Four-Door Car,Call Center,No
173,California,12313.16484,College,M,0,116,0.0,Personal Auto,835.2,Two-Door Car,Call Center,No
174,Oregon,3982.180708,Doctor,F,38500,99,1.0,Corporate Auto,423.286512,Four-Door Car,Agent,No
175,California,8237.037945,Bachelor,F,23940,107,0.0,Personal Auto,513.6,SUV,Call Center,No
176,California,12487.58095,High School or Below,F,31283,104,,Personal Auto,499.2,Four-Door Car,Agent,No
177,Oregon,5366.779081,Doctor,F,0,70,0.0,Personal Auto,223.174067,Four-Door Car,Agent,No
178,Arizona,2517.533581,College,F,0,69,,Personal Auto,42.096415,Four-Door Car,Call Center,No
179,California,5583.068307,High School or Below,F,57925,72,1.0,Corporate Auto,204.620759,Two-Door Car,Agent,No
180,California,7356.559341,High School or Below,M,81145,92,0.0,Corporate Auto,321.060571,Two-Door Car,Call Center,No
181,California,10144.3094,College,F,27231,88,0.0,Personal Auto,422.4,Four-Door Car,Branch,No
182,Oregon,8672.194272,College,F,22547,112,0.0,Corporate Auto,537.6,SUV,Agent,No
183,California,2674.730716,College,M,56342,69,0.0,Special Auto,331.2,Four-Door Car,Call Center,Yes
184,California,34611.37896,High School or Below,F,20090,109,0.0,Special Auto,523.2,Sports Car,Agent,Yes
185,California,8071.334962,Bachelor,M,72149,101,0.0,Personal Auto,69.310166,SUV,Call Center,No
186,Nevada,2511.944048,College,M,17658,65,0.0,Personal Auto,312.0,,Web,No
187,California,7255.714453,College,M,10710,94,0.0,Personal Auto,451.2,Two-Door Car,Branch,No
188,Arizona,14510.7505,High School or Below,M,60120,182,0.0,Personal Auto,716.469391,Luxury Car,Branch,No
189,California,11009.13049,Bachelor,F,51643,283,0.0,Corporate Auto,1358.4,Luxury Car,Agent,Yes
190,,21991.61598,College,F,80807,109,0.0,Personal Auto,132.139111,SUV,Branch,
191,Arizona,4633.336334,College,M,27132,63,1.0,Personal Auto,302.4,Four-Door Car,Branch,No
192,California,5272.518472,Doctor,M,85607,66,0.0,Personal Auto,67.647131,Four-Door Car,Agent,No
193,Arizona,4340.086445,College,M,0,62,0.0,Personal Auto,446.4,Four-Door Car,Branch,No
194,California,5488.931031,High School or Below,F,33881,68,0.0,Personal Auto,65.659137,Four-Door Car,Web,No
195,California,14228.23432,Bachelor,M,31650,121,0.0,Personal Auto,580.8,SUV,Branch,No
196,California,12840.43291,College,F,0,90,0.0,Personal Auto,648.0,Two-Door Car,Call Center,No
197,Arizona,2673.319593,Master,M,28728,67,0.0,Personal Auto,321.6,Four-Door Car,Branch,No
198,Oregon,5332.462694,Doctor,F,68931,66,0.0,Corporate Auto,309.577946,Four-Door Car,Branch,Yes
199,Arizona,10064.60828,High School or Below,F,20440,128,2.0,Corporate Auto,614.4,Sports Car,Branch,No
200,Washington,8972.140307,Bachelor,M,89689,74,,Personal Auto,136.829537,Four-Door Car,Branch,No
201,California,8197.197078,College,F,0,110,0.0,Personal Auto,528.0,SUV,Agent,No
202,Oregon,3514.212939,Bachelor,F,73643,89,0.0,Corporate Auto,147.486454,Four-Door Car,Agent,No
203,California,4293.009593,College,F,0,61,0.0,Corporate Auto,292.8,Two-Door Car,Agent,No
204,Arizona,3567.503755,Bachelor,M,0,102,0.0,Corporate Auto,660.430456,SUV,Agent,Yes
205,Arizona,2580.849899,College,M,46900,66,0.0,Personal Auto,316.8,,Web,Yes
206,Nevada,46805.22306,High School or Below,M,83006,235,1.0,Personal Auto,1065.049894,Luxury SUV,Agent,No
207,Washington,2666.976685,Bachelor,F,79251,67,1.0,Personal Auto,321.6,Four-Door Car,Web,No
208,California,13057.01188,College,M,0,190,0.0,Personal Auto,1833.182529,Luxury SUV,Branch,No
209,California,5823.162917,High School or Below,F,88359,73,0.0,Personal Auto,35.915639,Two-Door Car,Call Center,No
210,California,9536.338382,Bachelor,F,62421,80,2.0,Corporate Auto,384.0,Four-Door Car,Call Center,No
211,Nevada,8107.26533,College,M,0,76,0.0,Corporate Auto,364.8,Two-Door Car,Branch,No
212,California,3484.141641,Bachelor,M,34307,92,2.0,Personal Auto,186.025014,Four-Door Car,Call Center,No
213,Oregon,34039.05613,College,M,0,104,0.0,Personal Auto,499.2,Sports Car,Agent,No
214,Washington,7995.441263,High School or Below,F,66685,67,2.0,Personal Auto,38.763897,Two-Door Car,Call Center,No
215,Arizona,11611.94584,Bachelor,M,28915,76,0.0,Personal Auto,364.8,Four-Door Car,Web,No
216,Nevada,4454.104455,College,F,0,68,1.0,Personal Auto,326.4,Four-Door Car,Branch,No
217,Arizona,5395.346288,Bachelor,F,0,74,0.0,Personal Auto,355.2,Four-Door Car,Web,No
218,Arizona,8447.888167,Bachelor,F,61337,105,0.0,Personal Auto,2.54009,SUV,Call Center,No
219,Arizona,2927.07045,Bachelor,F,75685,73,0.0,Personal Auto,369.918482,Four-Door Car,Agent,No
220,Arizona,2960.029328,High School or Below,F,0,82,0.0,Personal Auto,590.4,Four-Door Car,Agent,No
221,Washington,6582.450781,High School or Below,F,0,62,0.0,Special Auto,297.6,Four-Door Car,Agent,No
222,Washington,2693.530229,Master,F,63684,68,,Personal Auto,343.889585,Two-Door Car,Agent,No
223,California,2844.849804,Bachelor,M,80306,71,0.0,Corporate Auto,340.8,Two-Door Car,Call Center,No
224,California,6331.338496,Bachelor,F,0,87,0.0,Personal Auto,94.714302,,Branch,No
225,Arizona,5837.528088,Doctor,M,83308,73,,Personal Auto,419.471438,Four-Door Car,Agent,No
226,,4727.354548,Bachelor,M,0,72,0.0,Personal Auto,345.6,Four-Door Car,Call Center,
227,Washington,4434.411172,High School or Below,M,34549,111,0.0,Personal Auto,125.933005,Four-Door Car,Web,No
228,California,5568.947534,High School or Below,M,0,79,1.0,Corporate Auto,407.440238,Two-Door Car,Agent,Yes
229,Washington,7031.463693,Master,M,16224,93,0.0,Corporate Auto,498.452698,Four-Door Car,Web,No
230,California,2449.31771,High School or Below,M,47122,62,0.0,Personal Auto,297.6,Two-Door Car,Branch,No
231,Arizona,2504.444752,College,M,0,69,0.0,Personal Auto,496.8,Four-Door Car,Branch,No
232,California,9095.049868,College,M,37937,116,0.0,Personal Auto,556.8,SUV,Call Center,Yes
233,Nevada,8071.65295,High School or Below,M,0,112,0.0,Personal Auto,806.4,SUV,Web,No
234,Oregon,15032.9003,College,M,17150,65,0.0,Personal Auto,689.800891,Two-Door Car,Agent,No
235,Arizona,8256.2978,Bachelor,F,62902,69,0.0,Personal Auto,159.383042,Two-Door Car,Web,Yes
236,Oregon,11009.13049,Bachelor,F,51643,283,0.0,Special Auto,1358.4,Luxury Car,Agent,Yes
237,California,5318.89664,Bachelor,F,25134,67,0.0,Personal Auto,321.6,Four-Door Car,Call Center,Yes
238,Arizona,4733.507343,Bachelor,F,0,62,0.0,Corporate Auto,740.838216,Four-Door Car,Agent,No
239,California,33473.34946,Bachelor,F,33190,106,0.0,Personal Auto,508.8,SUV,Web,Yes
240,Oregon,4550.856045,High School or Below,F,17913,116,0.0,Personal Auto,556.8,Four-Door Car,Web,No
241,California,4772.943848,High School or Below,M,20993,133,0.0,Personal Auto,638.4,SUV,Agent,Yes
242,Arizona,6285.15476,College,M,52210,80,0.0,Personal Auto,384.0,Four-Door Car,Branch,No
243,Oregon,4434.941371,Bachelor,F,58082,112,1.0,Personal Auto,103.022126,SUV,Call Center,No
244,Oregon,17254.03699,Bachelor,M,0,69,1.0,Personal Auto,331.2,Four-Door Car,Agent,No
245,Oregon,2915.614781,College,M,86599,73,0.0,Corporate Auto,350.4,Four-Door Car,Web,No
246,Oregon,15762.53198,Bachelor,F,44362,66,0.0,Corporate Auto,142.113373,Four-Door Car,Call Center,No
247,Oregon,4273.587765,Bachelor,F,82214,106,1.0,Personal Auto,239.143671,Four-Door Car,Branch,No
248,Nevada,2816.567395,High School or Below,F,41228,71,0.0,Personal Auto,340.8,Four-Door Car,Branch,No
249,Nevada,5548.031892,Bachelor,M,67798,69,0.0,Personal Auto,331.2,Four-Door Car,Agent,Yes
250,Oregon,32654.8383,Bachelor,M,0,153,0.0,Personal Auto,1101.6,SUV,Branch,No
251,,7687.296987,Bachelor,F,0,109,0.0,Personal Auto,523.2,SUV,Call Center,
252,Arizona,4151.667368,Master,F,0,61,,Personal Auto,208.892861,Two-Door Car,Web,No
253,California,2927.734329,Bachelor,M,51991,73,0.0,Personal Auto,124.376921,Four-Door Car,Web,No
254,California,2943.045259,High School or Below,F,0,81,,Personal Auto,388.8,Two-Door Car,Branch,No
255,Oregon,5320.081159,High School or Below,F,88669,66,1.0,Personal Auto,213.574473,Four-Door Car,Call Center,No
256,Oregon,4858.067125,High School or Below,M,0,67,,Personal Auto,482.4,Four-Door Car,Branch,No
257,Arizona,7590.050089,High School or Below,M,10375,66,0.0,Personal Auto,316.8,Two-Door Car,Branch,No
258,Oregon,4605.036646,College,F,22571,63,0.0,Corporate Auto,302.4,Four-Door Car,Web,Yes
259,California,7555.828789,College,M,0,114,,Personal Auto,820.8,Four-Door Car,Branch,No
260,Oregon,9587.586583,Bachelor,M,84539,119,0.0,Personal Auto,65.428481,Four-Door Car,Call Center,No
261,Oregon,2780.196856,High School or Below,F,20261,72,0.0,Personal Auto,345.6,,Web,No
262,Oregon,4784.960513,Bachelor,F,25813,61,,Personal Auto,205.332749,Four-Door Car,Agent,No
263,Oregon,4873.350518,High School or Below,M,47824,129,3.0,Personal Auto,546.046853,SUV,Agent,No
264,Oregon,4786.054889,Bachelor,F,0,68,0.0,Corporate Auto,489.6,Four-Door Car,Agent,No
265,California,15994.008,Bachelor,M,0,159,0.0,Personal Auto,1410.16929,SUV,Web,No
266,Washington,5395.091602,Bachelor,F,86640,67,0.0,Personal Auto,65.457366,Four-Door Car,Web,No
267,Oregon,2356.074955,Bachelor,M,0,63,0.0,Personal Auto,302.4,Four-Door Car,Agent,No
